review_id,title,pros,cons,rating,date,job_title,location,employmentStatus,text,us_flag,us_flag_reason
92059705,Benefits Health insurance and 401k Leaves,- benefits -- health insurance and 401k - leaves,- less pay - work for client and then work for what tcs manager asks to do internal activities - no work life balance - management is not responsive at all you call them send email don't expect response,3.0,2024-10-18,Senior Business Analyst,"Morrisville, NC",REGULAR,Benefits Health insurance and 401k Leaves - benefits -- health insurance and 401k - leaves - less pay - work for client and then work for what tcs manager asks to do internal activities - no work life balance - management is not responsive at all you call them send email don't expect response,US,state_code:NC
92043113,good company for average people,good company for average people,low salary lack of growth,3.0,2024-10-17,Senior Software Engineer,"Sunnyvale, CA",REGULAR,good company for average people good company for average people low salary lack of growth,US,state_code:CA
92039413,Job security Honest management Fantastic clients,job security honest management fantastic clients,salary work life balance career progression for technical staff,5.0,2024-10-17,Director,"New York, NY",REGULAR,Job security Honest management Fantastic clients job security honest management fantastic clients salary work life balance career progression for technical staff,US,state_code:NY
92008101,work life balance and good learning,work life balance and good learning,internal project politics and usage of old technology,4.0,2024-10-17,Technical Lead,"New York, NY",REGULAR,work life balance and good learning work life balance and good learning internal project politics and usage of old technology,US,state_code:NY
92001590,Job Safety is good lot of projects,job safety is good lot of projects,lack of professionalism no train,3.0,2024-10-16,Consultant,"Dallas, TX",REGULAR,Job Safety is good lot of projects job safety is good lot of projects lack of professionalism no train,US,state_code:TX
92000338,Work life balance was good in my role,work life balance was good in my role,unprofessional company in myriad ways,2.0,2024-10-16,Contracted Developer,"New York, NY",REGULAR,Work life balance was good in my role work life balance was good in my role unprofessional company in myriad ways,US,state_code:NY
91981180,good company and one should go there,good company and one should go there,very rigid with policy which is pros and cons roo,4.0,2024-10-16,IT Analyst,"Atlanta, GA",REGULAR,good company and one should go there good company and one should go there very rigid with policy which is pros and cons roo,US,state_code:GA
91964863,Had a good experience would recommend,had a good experience would recommend,poor communication from management almost always,4.0,2024-10-15,Quality Engineer,"Irvine, CA",REGULAR,Had a good experience would recommend had a good experience would recommend poor communication from management almost always,US,state_code:CA
91962158,No foward movement at all,no foward movement at all,no movement within the company,1.0,2024-10-15,Operations Analyst,"Midway, FL",REGULAR,No foward movement at all no foward movement at all no movement within the company,US,state_code:FL
91938448,Innovation emerging technology access to all the world s best brands,innovation emerging technology access to all the world's best brands,no tolerance for a bench tough expense and travel policies cost employees and clients much more than is sustainable lack of investment in people and culture,1.0,2024-10-15,Consulting Partner,"Philadelphia, PA",REGULAR,Innovation emerging technology access to all the world s best brands innovation emerging technology access to all the world's best brands no tolerance for a bench tough expense and travel policies cost employees and clients much more than is sustainable lack of investment in people and culture,US,state_code:PA
91934398,Tcs is the best place to work,tcs is the best place to work,no cons really like the work here,5.0,2024-10-15,Sr. Scientist,"Hyattsville, MD",REGULAR,Tcs is the best place to work tcs is the best place to work no cons really like the work here,US,state_code:MD
91921618,open to cross training training other employees,open to cross training training other employees,majority of u s a positions went overseas major layoffs major micromanaging,2.0,2024-10-14,Customer Service Representative,"Saint Petersburg, FL",REGULAR,open to cross training training other employees open to cross training training other employees majority of u s a positions went overseas major layoffs major micromanaging,US,state_code:FL
91919934,They do provide stable employment,they do provide stable employment,the benefits could be better,3.0,2024-10-14,Web Developer,"Philadelphia, PA",REGULAR,They do provide stable employment they do provide stable employment the benefits could be better,US,state_code:PA
91842522,great work culture at tcs,great work culture at tcs,bad work life balance t tcs,5.0,2024-10-11,Sr. Java/J2EE Developer,"New York, NY",REGULAR,great work culture at tcs great work culture at tcs bad work life balance t tcs,US,state_code:NY
91841118,A good platform to get introduced to IT world,a good platform to get introduced to it world,work pressure - depending on the project and client requirements employees may experience high work pressure and long hours bureaucracy - being a large organization tcs can have bureaucratic processes that may slow down decision-making and innovation,4.0,2024-10-11,Systems Engineer,"Egypt, Shelby, TN",PART_TIME,A good platform to get introduced to IT world a good platform to get introduced to it world work pressure - depending on the project and client requirements employees may experience high work pressure and long hours bureaucracy - being a large organization tcs can have bureaucratic processes that may slow down decision-making and innovation,US,state_code:TN
91816446,Good place to work in USA,good place to work in usa,nothing that i can say specifically,4.0,2024-10-10,IT Manager,"Chicago, IL",REGULAR,Good place to work in USA good place to work in usa nothing that i can say specifically,US,state_code:IL
91774021,Client facing roles Great learning opportunities,client facing roles great learning opportunities,less salary bad work culture,3.0,2024-10-09,Data Analyst,"Jersey City, NJ",REGULAR,Client facing roles Great learning opportunities client facing roles great learning opportunities less salary bad work culture,US,state_code:NJ
91735190,alot of free time to learn,alot of free time to learn,not many projects to work on for juniors,5.0,2024-10-08,Junior Java Developer,"Jersey City, NJ",REGULAR,alot of free time to learn alot of free time to learn not many projects to work on for juniors,US,state_code:NJ
